order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status,created_at
ORD-20251001-801028,2025-10-01T10:12:19.285265,REST-DXB-001,CUST-10187,takeaway,"[{""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 39.92, ""subtotal"": 79.84}]",79.84,card,completed,2025-10-01T10:12:19.285265
ORD-20251001-795814,2025-10-01T10:25:02.285265,REST-DXB-002,CUST-10276,takeaway,"[{""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 7.92, ""subtotal"": 23.76}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 17.81, ""subtotal"": 35.62}, {""item_id"": ""ITEM-103"", ""name"": ""Chicken 65"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 38.18, ""subtotal"": 114.54}]",173.92,wallet,delivered,2025-10-01T10:25:02.285265
ORD-20251001-597082,2025-10-01T10:26:48.285265,REST-DXB-001,CUST-10162,dine_in,"[{""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 22.16, ""subtotal"": 44.32}, {""item_id"": ""ITEM-103"", ""name"": ""Chicken 65"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 39.57, ""subtotal"": 118.71}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 43.97, ""subtotal"": 87.94}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 45.95, ""subtotal"": 91.9}]",342.87,cash,delivered,2025-10-01T10:26:48.285265
ORD-20251001-905813,2025-10-01T10:53:48.285265,REST-AUH-001,CUST-10075,dine_in,"[{""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 18.43, ""subtotal"": 55.29}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 48.04, ""subtotal"": 96.08}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 44.72, ""subtotal"": 134.16}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 9.26, ""subtotal"": 27.78}, {""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 55.4, ""subtotal"": 110.8}]",424.11,cash,completed,2025-10-01T10:53:48.285265
ORD-20251001-405630,2025-10-01T10:57:06.285265,REST-DXB-002,CUST-10496,delivery,"[{""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 9.11, ""subtotal"": 27.33}, {""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 12.52, ""subtotal"": 37.56}]",64.89,cash,completed,2025-10-01T10:57:06.285265
ORD-20251001-309888,2025-10-01T11:15:59.285265,REST-DXB-002,CUST-10027,dine_in,"[{""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 22.23, ""subtotal"": 44.46}, {""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 19.03, ""subtotal"": 19.03}]",63.49,wallet,completed,2025-10-01T11:15:59.285265
ORD-20251001-497573,2025-10-01T11:34:22.285265,REST-DXB-002,CUST-10285,dine_in,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 19.03, ""subtotal"": 19.03}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 18.63, ""subtotal"": 55.89}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 43.89, ""subtotal"": 43.89}, {""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 42.59, ""subtotal"": 127.77}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 47.64, ""subtotal"": 142.92}]",389.5,cash,delivered,2025-10-01T11:34:22.285265
ORD-20251001-351684,2025-10-01T12:29:08.285265,REST-SHJ-001,CUST-10235,takeaway,"[{""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 45.74, ""subtotal"": 91.48}, {""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 10.14, ""subtotal"": 30.42}, {""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 54.19, ""subtotal"": 162.57}, {""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 43.75, ""subtotal"": 131.25}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 18.27, ""subtotal"": 54.81}]",470.53,cash,completed,2025-10-01T12:29:08.285265
ORD-20251001-413132,2025-10-01T12:53:46.285265,REST-DXB-001,CUST-10318,delivery,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 19.25, ""subtotal"": 57.75}, {""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 38.2, ""subtotal"": 114.6}, {""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 40.66, ""subtotal"": 40.66}, {""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 66.53, ""subtotal"": 199.59}]",412.6,card,delivered,2025-10-01T12:53:46.285265
ORD-20251001-730390,2025-10-01T13:10:52.285265,REST-DXB-001,CUST-10027,dine_in,"[{""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 17.31, ""subtotal"": 51.93}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 15.27, ""subtotal"": 30.54}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 18.68, ""subtotal"": 56.04}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 18.1, ""subtotal"": 36.2}]",174.71,cash,completed,2025-10-01T13:10:52.285265
