review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20251012-365648,CUST-10284,REST-AUH-002,Absolutely amazing Paneer Butter Masala  Chole Bhature  and Jeera Rice! The Chole Bhature was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-13T10:33:02.285265
REV-000001,ORD-20251008-890079,CUST-10126,REST-AUH-001,Absolutely amazing Butter Chicken  Fresh Lime Soda  Garlic Naan  Chicken Biryani  and Samosa (2 pcs)! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-14T21:58:49.285265
REV-000003,ORD-20251013-925850,CUST-10452,REST-DXB-001,Outstanding experience! The Dal Makhani  Gulab Jamun (2 pcs)  and Butter Naan exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2025-10-20T13:16:52.285265
REV-000005,ORD-20251028-708562,CUST-10337,REST-DXB-002,Exceptional quality! Ordered Palak Paneer  Fresh Lime Soda  and Sweet Lassi and everything was delicious. The Sweet Lassi melted in my mouth. Perfect!,5,2025-10-29T10:47:49.285265
REV-000004,ORD-20251025-492800,CUST-10406,REST-AUH-002,Absolutely amazing Fish Curry  Paneer Tikka  Naan  and Jeera Rice! The Fish Curry was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-29T19:23:44.285265
REV-000006,ORD-20251029-228277,CUST-10378,REST-AUH-002,It was okay. Mango Lassi  Samosa (2 pcs)  Gulab Jamun (2 pcs)  and Lamb Rogan Josh arrived lukewarm. Samosa (2 pcs) tasted fine but could be better.,3,2025-11-02T21:10:40.285265
REV-000007,ORD-20251031-588003,CUST-10192,REST-SHJ-001,Average experience. Paneer Tikka  Vegetable Biryani  and Malai Kofta were fine but Paneer Tikka was a bit bland. Room for improvement.,3,2025-11-02T21:52:03.285265
REV-000008,ORD-20251101-119622,CUST-10086,REST-SHJ-001,Mediocre. Chicken Seekh Kebab were fine but forgettable. Chicken Seekh Kebab didn't stand out.,3,2025-11-03T19:15:19.285265
REV-000009,ORD-20251103-647571,CUST-10218,REST-AUH-001,Perfect in every way! Vegetable Biryani  Fresh Lime Soda  Chicken Tikka Masala  and Mango Lassi were all excellent. Fresh Lime Soda stood out with its rich  authentic taste.,5,2025-11-05T13:53:55.285265
REV-000010,ORD-20251107-433661,CUST-10011,REST-AUH-002,Mixed feelings. Fresh Lime Soda  Fish Curry  Jeera Rice  and Naan were acceptable. Naan was decent but portion was small for the price.,3,2025-11-08T13:48:42.285265
REV-000012,ORD-20251108-438175,CUST-10080,REST-DXB-002,Expected better. Mango Lassi were subpar. Mango Lassi was too oily and greasy. Stomach upset followed.,2,2025-11-09T13:25:09.285265
REV-000011,ORD-20251107-725815,CUST-10214,REST-AUH-001,Incredible meal! Masala Chai  Chicken 65  and Malai Kofta arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2025-11-12T16:44:26.285265
REV-000013,ORD-20251109-847260,CUST-10062,REST-SHJ-001,Best Indian food in UAE! Paneer Tikka  Gulab Jamun (2 pcs)  Vegetable Biryani  Chicken Biryani  and Chole Bhature were incredible. Chicken Biryani had the perfect balance of spices. Five stars!,5,2025-11-12T22:28:37.285265
REV-000014,ORD-20251111-227307,CUST-10472,REST-DXB-001,Poor experience. Vegetable Biryani  Masala Chai  and Mango Lassi were disappointing. Mango Lassi was burnt on the edges. Very unhappy.,2,2025-11-17T17:30:05.285265
REV-000015,ORD-20251112-560848,CUST-10176,REST-DXB-001,Not good. Tandoori Roti and Paneer Butter Masala arrived late and cold. Paneer Butter Masala had barely any flavor. Poor quality.,2,2025-11-18T10:27:23.285265
REV-000016,ORD-20251112-359767,CUST-10076,REST-DXB-002,Exceptional quality! Ordered Chole Bhature  Fresh Lime Soda  and Sweet Lassi and everything was delicious. The Sweet Lassi melted in my mouth. Perfect!,5,2025-11-19T12:59:33.285265
REV-000017,ORD-20251114-195688,CUST-10199,REST-AUH-002,Mixed feelings. Malai Kofta and Kulfi were acceptable. Kulfi was decent but portion was small for the price.,3,2025-11-20T14:15:20.285265
REV-000018,ORD-20251116-296514,CUST-10412,REST-SHJ-001,Solid experience. Chicken Tikka Masala  Chicken Seekh Kebab  and Gulab Jamun (2 pcs) were well-prepared. Chicken Tikka Masala had great flavor. Minor issues with packaging.,4,2025-11-21T19:23:22.285265
REV-000021,ORD-20251121-716517,CUST-10422,REST-AUH-001,Wow! Just wow! Jeera Rice  Sweet Lassi  and Fish Curry were all fantastic. Jeera Rice was particularly memorable. Can't wait to order again!,5,2025-11-22T16:17:44.285265
REV-000022,ORD-20251122-544602,CUST-10168,REST-DXB-002,Decent food but nothing special. Lamb Rogan Josh  Naan  and Rasmalai (2 pcs) were okay. Rasmalai (2 pcs) lacked the punch I expected.,3,2025-11-24T14:37:16.285265
REV-000019,ORD-20251119-426386,CUST-10179,REST-AUH-001,Exceptional quality! Ordered Palak Paneer and Gajar Halwa and everything was delicious. The Gajar Halwa melted in my mouth. Perfect!,5,2025-11-24T22:42:39.285265
REV-000023,ORD-20251123-324827,CUST-10122,REST-AUH-002,Outstanding experience! The Samosa (2 pcs) and Naan exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2025-11-25T11:40:09.285265
REV-000020,ORD-20251120-982984,CUST-10139,REST-AUH-002,Absolutely horrible! Palak Paneer and Paneer Tikka arrived ice cold after 2 hour delay. Paneer Tikka was spoiled. Disgusting!,1,2025-11-26T10:51:27.285265
REV-000024,ORD-20251124-887671,CUST-10389,REST-SHJ-001,Mediocre. Chicken Tikka Masala  Fish Curry  and Chicken Biryani were fine but forgettable. Chicken Tikka Masala didn't stand out.,3,2025-12-01T15:18:14.285265
REV-000025,ORD-20251125-778641,CUST-10150,REST-DXB-002,Mixed feelings. Chicken Biryani and Chole Bhature were acceptable. Chole Bhature was decent but portion was small for the price.,3,2025-12-01T19:59:00.285265
REV-000026,ORD-20251201-208025,CUST-10063,REST-AUH-001,Outstanding experience! The Vegetable Biryani  Gulab Jamun (2 pcs)  Chole Bhature  and Aloo Tikki Chaat exceeded all expectations. Vegetable Biryani was the star of the meal. Will definitely order again!,5,2025-12-02T13:22:52.285265
REV-000027,ORD-20251206-205630,CUST-10350,REST-SHJ-001,Really good Mango Lassi and Palak Paneer! The Palak Paneer was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-07T16:45:15.285265
REV-000031,ORD-20251209-581930,CUST-10291,REST-SHJ-001,Great food overall. Gulab Jamun (2 pcs) and Kulfi were tasty  especially the Kulfi. Would order again!,4,2025-12-10T10:43:58.285265
REV-000028,ORD-20251207-703486,CUST-10470,REST-DXB-002,Poor experience. Jeera Rice  Butter Naan  Vegetable Biryani  Tandoori Roti  and Masala Chai were disappointing. Masala Chai was burnt on the edges. Very unhappy.,2,2025-12-11T14:50:23.285265
REV-000030,ORD-20251208-473614,CUST-10135,REST-SHJ-001,Expected better. Fresh Lime Soda  Butter Naan  and Malai Kofta were subpar. Butter Naan was too oily and greasy. Stomach upset followed.,2,2025-12-12T14:04:05.285265
